name,street,model,bedrooms,bathrooms,district,region,planning_area,subszone,lat,lng,tenure,built_year,no_of_units,area_size,price
altez,16 enggor street ,apartment,3.0,3.0,2,central region,downtown core,tanjong pagar,1.27461794103822,103.844319553688,0,2014.0,280.0,1561.0,4873000.0
the woodleigh residences,21 bidadari park drive ,apartment,2.0,2.0,13,central region,toa payoh,bidadari,1.33846074116521,103.871405511562,0,1960.0,667.0,743.0,1772100.0
mount sophia suites,sophia road,apartment,1.0,1.0,9,central region,rochor,mount emily,1.3020393928986598,103.846841997611,1,2010.0,50.0,517.0,1089000.0
hedges park condominium,87 flora drive ,condominium,4.0,4.0,17,east region,pasir ris,flora drive,1.35463879164421,103.967836197125,0,2015.0,501.0,1539.0,1859000.0
marina collection,cove drive,condominium,4.0,5.0,4,central region,southern islands,sentosa,1.24297424636053,103.839164641252,0,2011.0,124.0,3789.0,7755000.0
shunfu road,shunfu road,condominium,4.0,3.0,20,central region,bishan,upper thomson,1.35200745401591,103.837031862103,0,2015.0,1206.0,1421.0,2695000.0
verdale,de souza avenue,apartment,3.0,2.0,21,central region,bukit timah,anak bukit,1.34569360134293,103.769862628576,0,1960.0,258.0,1001.0,1835400.0
marina bay suites,central boulevard,condominium,3.0,3.0,1,central region,downtown core,central subzone,1.28034497999593,103.852143277672,0,2013.0,221.0,1614.0,3828000.0
normanton park,57 normanton park ,apartment,3.0,2.0,5,central region,queenstown,kent ridge,1.28670074148056,103.790979496973,0,1930.0,1862.0,904.0,1640800.0
meyerhouse,meyer road,condominium,4.0,6.0,15,central region,marine parade,mountbatten,1.2983271637053,103.893447598793,1,2021.0,56.0,2820.0,7871600.0
the enclave . holland,131 holland road ,apartment,1.0,1.0,10,central region,bukit timah,leedon park,1.31213522058592,103.799011037531,1,2019.0,26.0,420.0,1320000.0
parkshore,201 tanjong rhu road ,condominium,4.0,3.0,15,central region,kallang,tanjong rhu,1.29673208730621,103.87063419752,1,1995.0,152.0,2325.0,4950000.0
euhabitat,jalan eunos,condominium,2.0,2.0,14,east region,bedok,kaki bukit,1.32825889448877,103.906611528497,0,2015.0,748.0,818.0,1320000.0
concourse skyline,296 beach road ,apartment,1.0,1.0,7,central region,downtown core,nicoll,1.30070393376469,103.86186108134198,0,2014.0,360.0,818.0,1848000.0
uptown @ farrer,perumal road,apartment,3.0,2.0,8,central region,kallang,lavender,1.3129443237366598,103.855634735092,0,2021.0,116.0,764.0,1705000.0
northoaks,20 woodlands crescent ,condominium,3.0,3.0,25,north region,woodlands,woodlands east,1.44487569593664,103.806025708484,0,2000.0,720.0,1216.0,1021900.0
sloane residences,balmoral road,apartment,4.0,4.0,10,central region,tanglin,nassim,1.31568887219293,103.832317948898,1,2021.0,52.0,1496.0,4820200.0
royal hallmark,haig lane,apartment,5.0,1.0,15,central region,marine parade,katong,1.30907421145446,103.898319919507,1,2012.0,32.0,2077.0,3300000.0
the sail @ marina bay,marina boulevard,apartment,1.0,1.0,1,central region,downtown core,central subzone,1.28076943504219,103.852658562152,0,2008.0,1111.0,689.0,1667400.0
marina one residences,21 marina way ,apartment,2.0,2.0,1,central region,downtown core,central subzone,1.27671498507474,103.853326932298,0,2017.0,1042.0,1173.0,3236600.0
fourth avenue residences,fourth avenue,apartment,2.0,2.0,10,central region,bukit timah,coronation road,1.3297125646108705,103.796996065203,0,1930.0,476.0,710.0,1870000.0
the sail @ marina bay,4 marina boulevard ,apartment,2.0,2.0,1,central region,downtown core,central subzone,1.28076943504219,103.852658562152,0,2008.0,1111.0,936.0,2585000.0
mackenzie 88,mackenzie road,apartment,2.0,2.0,9,central region,rochor,mackenzie,1.30647254108334,103.847682721688,1,2009.0,55.0,840.0,1705000.0
south beach residences,beach road,apartment,2.0,2.0,7,central region,downtown core,city hall,1.29438518375248,103.8560297971,0,2016.0,190.0,1216.0,3718000.0
normanton park,normanton park,apartment,2.0,1.0,5,central region,queenstown,kent ridge,1.28749505390492,103.793610594541,0,1930.0,1862.0,646.0,1236400.0
gem residences,3 lorong 5 toa payoh ,condominium,1.0,1.0,12,central region,toa payoh,boon teck,1.33933820986766,103.851224736347,0,2019.0,578.0,452.0,988900.0
park natura,37 bukit batok east avenue 6 ,condominium,4.0,4.0,23,central region,bukit timah,anak bukit,1.34621721609495,103.765573452316,1,2011.0,192.0,1744.0,2948000.0
midtown bay,beach road,apartment,2.0,2.0,7,central region,downtown core,city hall,1.2963566643980902,103.85736876917,0,2021.0,219.0,763.0,2156000.0
seletar park residence,17 seletar road ,condominium,1.0,1.0,28,north-east region,serangoon,seletar hills,1.38653998627,103.869207772374,0,2015.0,276.0,528.0,770000.0
beacon heights,mar thoma road,condominium,2.0,2.0,12,central region,kallang,bendemeer,1.32637508646677,103.8621423703,1,2012.0,212.0,893.0,1375000.0
perfect ten,bukit timah road,apartment,2.0,2.0,10,central region,tanglin,nassim,1.31722941395448,103.832485988891,1,2008.0,230.0,753.0,2750000.0
parc greenwich,43 fernvale lane ,condominium,3.0,3.0,28,north-east region,sengkang,fernvale,1.38934700440912,103.869437865154,0,2016.0,496.0,1000.0,1269400.0
midtown modern,tan quee lan street,apartment,4.0,3.0,7,central region,downtown core,bugis,1.29850522262382,103.857088439281,0,1930.0,558.0,1442.0,4180000.0
residences @ evelyn,17 evelyn road ,condominium,2.0,2.0,11,central region,novena,moulmein,1.31548497427322,103.839467418834,1,2007.0,208.0,1034.0,2750000.0
kent ridge hill residences,south buona vista road,apartment,3.0,2.0,5,central region,queenstown,pasir panjang 2,1.28082397634044,103.790728746282,0,1930.0,548.0,958.0,1961300.0
canberra residences,505 canberra drive ,condominium,3.0,2.0,27,north region,sembawang,sembawang springs,1.44422873354083,103.824867228789,0,2013.0,320.0,1325.0,1441000.0
amber skye,8 amber road ,apartment,3.0,4.0,15,central region,marine parade,marine parade,1.29962978981916,103.898114344383,1,2017.0,109.0,1335.0,3608000.0
waterfront gold,bedok reservoir road,condominium,2.0,2.0,16,east region,bedok,bedok reservoir,1.33856647295863,103.928528157395,0,2014.0,361.0,1066.0,1496000.0
35 gilstead,gilstead road,apartment,3.0,3.0,11,central region,novena,moulmein,1.31711023904743,103.837956844749,1,2014.0,70.0,872.0,2512400.0
normanton park,normanton park,apartment,3.0,2.0,5,central region,queenstown,kent ridge,1.28749505390492,103.793610594541,0,1930.0,1862.0,904.0,1753400.0
mayfair modern,rifle range road,condominium,1.0,1.0,21,central region,bukit timah,swiss club,1.33718821380367,103.781736456,0,1975.5,171.0,517.0,1210000.0
mackenzie 88,mackenzie road,apartment,2.0,2.0,9,central region,rochor,mackenzie,1.30647254108334,103.847682721688,1,2009.0,55.0,850.0,1705000.0
marina one residences,23 marina way ,apartment,2.0,1.0,1,central region,downtown core,central subzone,1.2772242561628302,103.853694940241,0,2017.0,1042.0,753.0,1932000.0
riverfront residences,hougang avenue 7,apartment,1.0,1.0,19,north-east region,hougang,kangkar,1.37017075252236,103.899998611766,0,2000.0,1472.0,463.0,768900.0
the atelier,makeway avenue,apartment,3.0,3.0,9,central region,novena,moulmein,1.31283039144925,103.841544287772,1,1930.0,120.0,1173.0,3440800.0
south beach residences,28 south beach road ,apartment,3.0,3.0,7,central region,downtown core,city hall,1.29438518375248,103.8560297971,0,2016.0,190.0,1647.0,6149000.0
mayfair gardens,10 rifle range road ,condominium,3.0,3.0,21,central region,bukit timah,swiss club,1.33862751968993,103.781450832302,0,1989.0,215.0,1109.0,2516800.0
la mariposa,mangis road,apartment,4.0,4.0,15,central region,geylang,geylang east,1.31270763418218,103.904671198022,1,2021.0,17.0,1345.0,2637800.0
sims urban oasis,10 sims drive ,condominium,2.0,1.0,14,central region,geylang,aljunied,1.3198352154593798,103.880626895148,0,2017.0,1024.0,624.0,1188000.0
midwood,hillview rise,condominium,2.0,2.0,23,west region,bukit batok,hillview,1.36286208839026,103.763433915546,0,1930.0,564.0,786.0,1375000.0
caspian,lakeside drive,condominium,4.0,4.0,22,west region,jurong west,taman jurong,1.3426574015858102,103.718174762722,0,2012.0,712.0,1593.0,2046000.0
lush acres,fernvale close,executive condominium,3.0,3.0,28,north-east region,sengkang,fernvale,1.3953319617223603,103.879513735252,0,2016.0,380.0,1098.0,1188000.0
the line @ tanjong rhu,tanjong rhu road,condominium,3.0,2.0,15,central region,kallang,tanjong rhu,1.2984373006061298,103.884408021083,1,2016.0,130.0,1055.0,2597200.0
rivertrees residences,27 fernvale close ,apartment,2.0,2.0,28,north-east region,sengkang,fernvale,1.39348472837102,103.880490414205,0,2017.0,495.0,710.0,1021800.0
forett@bukit timah,toh tuck road,apartment,5.0,3.0,21,central region,bukit timah,anak bukit,1.33990853882395,103.767523150763,1,1930.0,216.0,1884.0,4103000.0
the iveria,2 kim yam road ,apartment,4.0,3.0,9,central region,river valley,institution hill,1.2952856447523702,103.838567440302,1,1960.0,51.0,904.0,2453000.0
forett@bukit timah,toh tuck road,apartment,4.0,3.0,21,central region,bukit timah,anak bukit,1.33990853882395,103.767523150763,1,1930.0,216.0,1302.0,3029400.0
watertown,punggol central,apartment,1.0,1.0,19,north-east region,punggol,punggol town centre,1.40717651212161,103.90303963124398,0,2017.0,992.0,527.0,932800.0
stadia,yio chu kang road,apartment,2.0,1.0,19,north-east region,serangoon,serangoon central,1.35565210357624,103.876015763639,1,2010.0,56.0,743.0,1045000.0
the line @ tanjong rhu,6 tanjong rhu road ,condominium,3.0,2.0,15,central region,kallang,tanjong rhu,1.2984373006061298,103.884408021083,1,2016.0,130.0,1184.0,2914800.0
amber park,amber gardens,condominium,2.0,1.0,15,central region,marine parade,marine parade,1.3004682373456,103.899919640176,1,1986.0,592.0,678.0,1967900.0
forett@bukit timah,38b toh tuck road ,apartment,4.0,3.0,21,central region,bukit timah,anak bukit,1.34013731823673,103.768787031514,1,1930.0,258.0,1302.0,2802800.0
midwood,hillview rise,condominium,3.0,2.0,23,west region,bukit batok,hillview,1.36286208839026,103.763433915546,0,1930.0,564.0,893.0,1491700.0
forett@bukit timah,32 toh tuck road ,apartment,1.0,1.0,21,central region,bukit timah,anak bukit,1.33990853882395,103.767523150763,1,1930.0,258.0,474.0,1071400.0
marina one residences,marina way,apartment,2.0,2.0,1,central region,downtown core,central subzone,1.27671498507474,103.853326932298,0,2017.0,1042.0,1055.0,4750500.0
35 gilstead,35 gilstead road ,apartment,1.0,1.0,11,central region,novena,moulmein,1.31711023904743,103.837956844749,1,2013.0,70.0,484.0,1394800.0
bartley vue,jalan bunga rampai,apartment,5.0,4.0,19,central region,toa payoh,joo seng,1.34036185896759,103.883846444139,0,2015.0,115.0,1356.0,2420000.0
shunfu road,shunfu road,condominium,2.0,1.0,20,central region,bishan,upper thomson,1.35200745401591,103.837031862103,0,2015.0,1206.0,646.0,1188000.0
nouvel 18,anderson road,condominium,2.0,2.0,10,central region,newton,orange grove,1.31083945362027,103.828325367461,1,2014.0,156.0,1335.0,4386800.0
sanctuary green,tanjong rhu road,condominium,3.0,3.0,15,central region,kallang,tanjong rhu,1.2959707477638998,103.871750424041,0,2003.0,522.0,1227.0,1870000.0
phoenix residences,phoenix avenue,apartment,3.0,3.0,23,west region,bukit batok,gombak,1.37525459469413,103.757531008357,0,2005.0,74.0,1098.0,1728300.0
one shenton,shenton way,apartment,2.0,2.0,1,central region,downtown core,cecil,1.27929478959373,103.850552555075,0,2011.0,341.0,904.0,1969000.0
waterbank at dakota,dakota crescent,condominium,3.0,2.0,14,central region,geylang,aljunied,1.30665815996221,103.888087858364,0,2013.0,616.0,1421.0,1848000.0
the holland collection,53 holland road ,apartment,3.0,3.0,10,central region,tanglin,ridout,1.30888091521005,103.807669378659,1,2011.0,26.0,1841.0,4180000.0
starlight suites,11 river valley close ,apartment,1.0,1.0,9,central region,river valley,institution hill,1.29371532764206,103.837276710508,1,2014.0,105.0,560.0,1571800.0
the armadale,gilstead road,apartment,2.0,1.0,11,central region,novena,moulmein,1.31856765330093,103.840268808403,1,2001.0,75.0,1184.0,2090000.0
kopar at newton,makeway avenue,apartment,3.0,2.0,9,central region,novena,moulmein,1.31242688268348,103.841064338246,0,1930.0,378.0,915.0,2541000.0
bellewaters,27 anchorvale crescent ,condominium,3.0,3.0,19,north-east region,sengkang,anchorvale,1.39991098429879,103.890906957271,0,2017.0,651.0,1088.0,1419000.0
the concourse,300 beach road ,condominium,1.0,1.0,7,central region,downtown core,nicoll,1.30101092385674,103.862484057069,0,1996.0,360.0,871.0,1705000.0
parc riviera,west coast vale,condominium,1.0,1.0,5,west region,clementi,west coast,1.32081769238494,103.752667309254,0,2019.0,752.0,463.0,789800.0
northwave,woodlands view,executive condominium,3.0,3.0,25,north region,woodlands,woodlands east,1.4438740210937602,103.810669330189,0,2019.0,358.0,1119.0,1100000.0
parc olympia,flora drive,condominium,2.0,1.0,17,east region,pasir ris,flora drive,1.35531040259148,103.965525604183,0,2015.0,486.0,861.0,878900.0
canberra street,canberra street,condominium,3.0,2.0,27,north region,sembawang,sembawang east,1.45139998591606,103.830859953414,0,2015.0,448.0,1090.0,1210000.0
icon,10 gopeng street ,apartment,2.0,2.0,2,central region,downtown core,tanjong pagar,1.27516997577919,103.844496312645,0,2007.0,646.0,1044.0,2178000.0
marina one residences,21 marina way ,apartment,1.0,1.0,1,central region,downtown core,central subzone,1.27671498507474,103.853326932298,0,2017.0,1042.0,700.0,1848000.0
duo residences,fraser street,apartment,1.0,1.0,7,central region,downtown core,bugis,1.29916295967817,103.857859536947,0,2017.0,660.0,700.0,1760000.0
mooi residences,holland road,apartment,2.0,2.0,10,central region,bukit timah,leedon park,1.31257730599051,103.79835625246,1,1930.0,24.0,667.0,1733500.0
yewtee residences,23 choa chu kang north 6 ,apartment,3.0,3.0,23,west region,choa chu kang,yew tee,1.39729776002895,103.746524986925,0,2008.0,139.0,1195.0,1375000.0
affinity at serangoon,serangoon north avenue 1,apartment,4.0,3.0,19,north-east region,serangoon,serangoon garden,1.36629534739616,103.874480824591,0,2015.0,1052.0,1410.0,2411200.0
royalgreen,anamalai avenue,condominium,2.0,1.0,10,central region,bukit timah,holland road,1.33161839267294,103.794252400987,1,2021.0,285.0,635.0,1922200.0
marina bay residences,marina boulevard,condominium,3.0,4.0,1,central region,downtown core,central subzone,1.279625798918,103.854987203774,0,2010.0,428.0,1970.0,8234600.0
sky green,568 macpherson road ,condominium,3.0,3.0,13,central region,geylang,macpherson,1.3325977226462802,103.886654330662,1,2015.0,176.0,2293.0,3127700.0
wilshire residences,farrer road,apartment,3.0,2.0,10,central region,tanglin,tyersall,1.3130616127338102,103.80464762708598,1,2010.0,85.0,840.0,2440900.0
the commodore,59 canberra drive ,condominium,3.0,3.0,27,north region,sembawang,sembawang springs,1.44121359373842,103.827784048998,0,2015.0,219.0,915.0,1097800.0
tanamera crest,6 pari dedap walk ,condominium,3.0,3.0,16,east region,bedok,bedok north,1.33210494519976,103.942079542636,0,2004.0,288.0,1163.0,1276000.0
angullia park residences @ orchard,cuscaden walk,apartment,3.0,4.0,10,central region,river valley,one tree hill,1.30361391565827,103.829242156982,1,2010.0,46.0,1905.0,5368000.0
royalgreen,anamalai avenue,condominium,3.0,3.0,10,central region,bukit timah,holland road,1.33161839267294,103.794252400987,1,2021.0,285.0,1066.0,3181600.0
international plaza,10 anson road ,apartment,3.0,2.0,2,central region,downtown core,tanjong pagar,1.27601222585222,103.845897843593,0,1976.0,210.0,1033.0,1628000.0
the landmark,chin swee road,condominium,3.0,2.0,3,central region,outram,pearl's hill,1.28617084485828,103.839567626644,0,1960.0,396.0,1076.0,2508000.0
icon,10 gopeng street ,apartment,1.0,1.0,2,central region,downtown core,tanjong pagar,1.27516997577919,103.844496312645,0,2007.0,646.0,657.0,1485000.0
d'leedon,leedon heights,condominium,2.0,2.0,10,central region,bukit timah,farrer court,1.3160902186364198,103.802300019532,0,2014.0,1715.0,1076.0,2178000.0
vacanza @ east,lengkong tujoh,condominium,3.0,2.0,14,east region,bedok,kembangan,1.32901984483655,103.914196223923,1,2014.0,473.0,1012.0,1507000.0
amber skye,amber road,apartment,2.0,2.0,15,central region,marine parade,marine parade,1.29962978981916,103.898114344383,1,2017.0,109.0,1216.0,2805000.0
the avenir,8 river valley close ,condominium,1.0,1.0,9,central region,river valley,institution hill,1.29474075956073,103.836583709306,1,2011.0,376.0,527.0,1681900.0
normanton park,normanton park,apartment,3.0,2.0,5,central region,queenstown,kent ridge,1.28749505390492,103.793610594541,0,1930.0,1862.0,969.0,1878800.0
haus on handy,handy road,condominium,3.0,2.0,9,central region,museum,dhoby ghaut,1.29987982178361,103.846414189196,0,2014.0,188.0,947.0,2850100.0
skyline residences,612 telok blangah road ,condominium,2.0,2.0,4,central region,bukit merah,telok blangah drive,1.2724976215049095,103.807425370143,1,2015.0,283.0,829.0,2198700.0
the avenir,8 river valley close ,condominium,3.0,3.0,9,central region,river valley,institution hill,1.29474075956073,103.836583709306,1,2011.0,376.0,1528.0,4802600.0
midtown modern,tan quee lan street,apartment,1.0,1.0,7,central region,downtown core,bugis,1.29850522262382,103.857088439281,0,1930.0,558.0,409.0,1617000.0
forett@bukit timah,36 toh tuck road ,apartment,3.0,2.0,21,central region,bukit timah,anak bukit,1.34107487767245,103.768784644852,1,1930.0,258.0,980.0,2021800.0
shanghai one,1 shanghai road ,apartment,1.0,1.0,10,central region,tanglin,chatsworth,1.2948480383694,103.827548220413,1,2007.0,52.0,560.0,1155000.0
the abode at devonshire,devonshire road,apartment,3.0,3.0,9,central region,river valley,leonie hill,1.29763848883386,103.837696742648,1,2002.0,26.0,1119.0,2530000.0
mori,guillemard road,apartment,2.0,2.0,14,central region,geylang,aljunied,1.31131219787605,103.882972095616,1,2017.0,137.0,710.0,1426700.0
the ford @ holland,1 ford avenue ,condominium,1.0,1.0,10,central region,bukit timah,leedon park,1.3135150615335902,103.793689742252,1,2009.0,85.0,506.0,1210000.0
lorong 6 toa payoh,lorong 6 toa payoh ,condominium,2.0,2.0,12,central region,toa payoh,toa payoh central,1.33021801545927,103.85195095116998,0,2014.0,162.0,680.0,1527800.0
turquoise,51 cove drive ,condominium,4.0,3.0,4,central region,southern islands,sentosa,1.2429639958111298,103.83710621358802,0,2010.0,91.0,2411.0,3520000.0
nv residences,91 pasir ris grove ,condominium,1.0,2.0,18,east region,pasir ris,pasir ris central,1.37141634507612,103.943621458548,0,2013.0,642.0,657.0,759000.0
sophia residence,5 sophia road ,condominium,3.0,3.0,9,central region,rochor,mount emily,1.30158083491052,103.848507995671,1,2014.0,272.0,1991.0,3190000.0
nouvel 18,anderson road,condominium,5.0,7.0,10,central region,newton,orange grove,1.31083945362027,103.828325367461,1,2014.0,156.0,6458.0,39476800.0
the watergardens at canberra,canberra drive,apartment,3.0,3.0,25,north region,sembawang,sembawang springs,1.43919858389734,103.829104449216,0,1930.0,448.0,1152.0,1430000.0
amber park,amber gardens,condominium,4.0,3.0,15,central region,marine parade,marine parade,1.3004682373456,103.899919640176,1,1986.0,592.0,1572.0,3883000.0
orchard scotts,7 anthony road ,condominium,4.0,4.0,9,central region,newton,cairnhill,1.30966025311743,103.838445256943,0,2007.0,387.0,2282.0,4620000.0
perfect ten,323 bukit timah road ,apartment,3.0,3.0,10,central region,tanglin,nassim,1.31722941395448,103.832485988891,1,2006.5,230.0,1227.0,4319000.0
marina one residences,21 marina way ,apartment,4.0,5.0,1,central region,downtown core,central subzone,1.27671498507474,103.853326932298,0,2017.0,1042.0,7244.0,24420000.0
marina one residences,marina way,apartment,1.0,1.0,1,central region,downtown core,central subzone,1.27671498507474,103.853326932298,0,2017.0,1042.0,689.0,1857800.0
royal hallmark,1 haig lane ,apartment,3.0,2.0,15,central region,marine parade,katong,1.30907421145446,103.898319919507,1,2012.0,32.0,936.0,1958000.0
one-north residences,one-north gateway,apartment,3.0,3.0,5,central region,queenstown,one north,1.30220440131525,103.789907530412,0,2009.0,405.0,1335.0,2530000.0
one shenton,1 shenton way ,apartment,4.0,4.0,1,central region,downtown core,cecil,1.27929478959373,103.850552555075,0,2011.0,341.0,1895.0,5280000.0
verticus,3 jalan kemaman ,apartment,3.0,2.0,12,central region,novena,balestier,1.3263563813243202,103.850660162189,1,1960.0,162.0,936.0,2097700.0
mayfair modern,2 rifle range road ,condominium,1.0,1.0,21,central region,bukit timah,swiss club,1.33718821380367,103.781736456,0,1975.5,171.0,506.0,1137400.0
cradels,lorong limau,apartment,1.0,1.0,12,central region,novena,balestier,1.32467146475006,103.853910277516,1,2015.0,125.0,463.0,858000.0
the oliv,balmoral road,apartment,4.0,4.0,10,central region,tanglin,nassim,1.31483629325537,103.831578486871,1,2013.0,23.0,3336.0,11770000.0
sims urban oasis,sims drive,condominium,1.0,1.0,14,central region,geylang,aljunied,1.3191895872053898,103.881380824314,0,2017.0,1024.0,409.0,858000.0
ola,86 anchorvale crescent ,condominium,4.0,2.0,19,north-east region,sengkang,anchorvale,1.3973373608371398,103.891840992949,0,1930.0,548.0,1055.0,1210000.0
urban vista,8 tanah merah kechil link ,condominium,1.0,1.0,16,east region,bedok,bedok north,1.32724658550534,103.944899999624,0,2016.0,582.0,441.0,734800.0
casa fortuna,ah hood road,apartment,2.0,2.0,12,central region,novena,balestier,1.32849358847465,103.848169401956,1,2011.0,106.0,926.0,1538800.0
aspen heights,river valley road,condominium,5.0,5.0,9,central region,river valley,institution hill,1.29425888278719,103.840800556526,1,1998.0,606.0,3100.0,6985000.0
skysuites@anson,enggor street,apartment,2.0,1.0,2,central region,downtown core,tanjong pagar,1.2746439780471102,103.844741587315,0,2014.0,360.0,700.0,1573000.0
penrose,sims drive,apartment,3.0,2.0,14,central region,geylang,aljunied,1.31941278190941,103.8794959606,0,1960.0,566.0,937.0,1475100.0
verdale,8 de souza avenue ,apartment,4.0,2.0,21,central region,bukit timah,anak bukit,1.3452273980941298,103.769956157198,0,1960.0,258.0,947.0,1705000.0
eco,279 bedok south avenue 3 ,condominium,1.0,1.0,16,east region,bedok,bedok south,1.3231934734443,103.944779070764,0,2017.0,748.0,624.0,998800.0
the aristo @ amber,amber road,apartment,3.0,2.0,15,central region,marine parade,marine parade,1.30025165988908,103.900823387238,1,2013.0,56.0,711.0,1430000.0
marina one residences,21 marina way ,apartment,1.0,1.0,1,central region,downtown core,central subzone,1.27671498507474,103.853326932298,0,2017.0,1042.0,731.0,1787300.0
tre residences,geylang east avenue 1,condominium,3.0,2.0,14,central region,geylang,aljunied,1.31721501497667,103.884668916461,0,2018.0,250.0,764.0,1309000.0
mackenzie 88,88 mackenzie road ,apartment,2.0,2.0,9,central region,rochor,mackenzie,1.30647254108334,103.847682721688,1,2009.0,55.0,840.0,1760000.0
sturdee residences,beatty road,condominium,1.0,1.0,8,central region,kallang,lavender,1.31291695250751,103.859047068258,0,2019.0,305.0,420.0,1045000.0
the watergardens at canberra,37 canberra drive ,apartment,2.0,2.0,27,north region,sembawang,sembawang springs,1.43981661259677,103.827719536736,0,1930.0,448.0,678.0,1086700.0
the commodore,canberra drive,condominium,5.0,4.0,27,north region,sembawang,sembawang springs,1.44121359373842,103.827784048998,0,1930.0,219.0,1668.0,2090000.0
the glades,10 bedok rise ,condominium,2.0,1.0,16,east region,bedok,bedok south,1.32708115247433,103.947772361121,0,2016.0,726.0,624.0,1067000.0
marina one residences,marina way,apartment,1.0,1.0,1,central region,downtown core,central subzone,1.27671498507474,103.853326932298,0,2017.0,1042.0,731.0,1940300.0
symphony suites,yishun close,condominium,3.0,3.0,27,north region,yishun,yishun east,1.43456191549725,103.844362842957,0,2018.0,660.0,893.0,1100000.0
midtown residences,1189 upper serangoon road ,apartment,2.0,2.0,19,north-east region,hougang,hougang central,1.37073588285709,103.895120805047,0,2016.0,160.0,635.0,988900.0
normanton park,normanton park,apartment,3.0,2.0,5,central region,queenstown,kent ridge,1.28749505390492,103.793610594541,0,1930.0,1862.0,904.0,1617000.0
yishun avenue 1,yishun avenue 1,condominium,3.0,2.0,27,north region,yishun,yishun east,1.42036586749656,103.848068608027,0,2013.0,608.0,1184.0,1408000.0
sturdee residences,beatty road,condominium,1.0,1.0,8,central region,kallang,lavender,1.31291695250751,103.859047068258,0,2019.0,305.0,420.0,1045000.0
cairnhill 16,16 cairnhill rise ,apartment,3.0,2.0,9,central region,newton,cairnhill,1.30851030840347,103.837972449413,1,2011.0,39.0,1055.0,3675100.0
ivory,15 ceylon lane ,apartment,3.0,2.0,15,central region,geylang,geylang east,1.3114019755049,103.900410772179,1,2012.0,20.0,1012.0,1485000.0
the florence residences,hougang avenue 2,apartment,2.0,1.0,19,north-east region,hougang,kovan,1.36721571020099,103.887069987475,0,1930.0,1410.0,624.0,1103300.0
canninghill piers,clarke quay,apartment,1.0,1.0,6,central region,singapore river,clarke quay,1.2914248297393,103.844383363038,0,1970.0,696.0,506.0,1900800.0
archipelago,bedok reservoir road,condominium,2.0,2.0,16,east region,bedok,bedok reservoir,1.33753586880554,103.920651855815,0,2015.0,577.0,839.0,1199000.0
the sail @ marina bay,marina boulevard,apartment,2.0,2.0,1,central region,downtown core,central subzone,1.28076943504219,103.852658562152,0,2008.0,1111.0,936.0,2618000.0
duo residences,fraser street,apartment,1.0,1.0,7,central region,downtown core,bugis,1.29916295967817,103.857859536947,0,2017.0,660.0,420.0,1320000.0
klimt cairnhill,71 cairnhill road ,apartment,2.0,2.0,9,central region,newton,cairnhill,1.30896390883059,103.836154325224,1,1930.0,138.0,829.0,3229600.0
the greenwich,11 seletar road ,condominium,1.0,5.0,28,north-east region,serangoon,seletar hills,1.386680903126,103.870195357044,0,2014.0,319.0,603.0,792000.0
cube 8,376 thomson road ,condominium,1.0,1.0,11,central region,novena,balestier,1.3283636088892,103.841418362322,1,2013.0,177.0,560.0,1086800.0
bijou,jalan mat jambol,apartment,1.0,1.0,5,central region,queenstown,pasir panjang 2,1.27685386379359,103.791742171785,1,2018.0,120.0,570.0,1240800.0
the woodleigh residences,31 bidadari park drive ,apartment,3.0,2.0,13,central region,toa payoh,bidadari,1.33915315426573,103.872040461092,0,1960.0,667.0,850.0,1980000.0
the atelier,2 makeway avenue ,apartment,2.0,2.0,9,central region,novena,moulmein,1.31283039144925,103.841544287772,1,1930.0,120.0,872.0,2625700.0
the jovell,13 flora drive ,condominium,2.0,2.0,17,east region,pasir ris,flora drive,1.35800454371526,103.96572538566,0,1930.0,428.0,678.0,976800.0
corals at keppel bay,3 keppel bay drive ,condominium,6.0,5.0,4,central region,bukit merah,maritime square,1.26449699575304,103.816309933353,0,2016.0,366.0,2583.0,7128000.0
marina collection,cove drive,condominium,4.0,3.0,4,central region,southern islands,sentosa,1.24297424636053,103.839164641252,0,2011.0,124.0,3412.0,7056000.0
marina bay residences,18 marina boulevard ,condominium,2.0,2.0,1,central region,downtown core,central subzone,1.279625798918,103.854987203774,0,2010.0,428.0,1066.0,2640000.0
up@robertson quay,92 robertson quay ,apartment,2.0,2.0,9,central region,singapore river,robertson quay,1.29078080113526,103.837445495482,0,2015.0,70.0,1238.0,2694600.0
the trilinq,28b jalan lempeng ,condominium,1.0,1.0,5,west region,clementi,faber,1.3186313361316202,103.761137161089,0,2017.0,755.0,538.0,940500.0
mayfair modern,2 rifle range road ,condominium,2.0,2.0,21,central region,bukit timah,swiss club,1.33718821380367,103.781736456,0,1975.5,171.0,721.0,1801800.0
pullman residences newton,18 dunearn road ,apartment,3.0,4.0,11,central region,novena,moulmein,1.31467262956125,103.839010845653,1,1930.0,340.0,1281.0,3811500.0
twentyone angullia park,21 angullia park ,condominium,4.0,3.0,9,central region,river valley,one tree hill,1.30376655553905,103.830033474096,1,2014.0,54.0,2260.0,10230000.0
urban vista,14 tanah merah kechil link ,condominium,2.0,1.0,16,east region,bedok,bedok north,1.32699517438883,103.944312151127,0,2016.0,582.0,624.0,1155000.0
